RUN094_time_s,RUN094_Id,RUN094_ImpactMax,RUN094_HoleMax,RUN094_Tmax,RUN094_JouleMax,RUN092_nearest_time_s,RUN092_Id,RUN092_ImpactMax,RUN092_HoleMax,RUN092_Tmax,RUN092_JouleMax
1.83185174646716e-10,0.000338114892,7.186531889e+28,5.375981399e+19,349.0226385,2639204599000.0,1.8208550074072e-10,0.0001251126487,6.793802448e+26,2.481729661e+19,304.0270646,818306227900.0
1.90176664571986e-10,0.0003356497715,6.87636377e+28,5.522405063e+19,350.4543019,2548579873000.0,1.88461431239269e-10,0.0001223539574,8.087781738e+26,2.457744493e+19,304.6777833,893217606500.0
1.97168154497257e-10,0.0003336016334,6.584858975e+28,5.721425149e+19,351.8680307,2463656211000.0,2.01213292236366e-10,0.0001174536954,1.061073901e+27,2.409633215e+19,306.0649141,1021880376000.0
2.04159644422527e-10,0.0003317681752,6.312681424e+28,5.908620709e+19,353.2638096,2383855674000.0,2.04055774850541e-10,0.000116628055,1.114612599e+27,2.398902276e+19,306.3745693,1046870991000.0
2.18142624273068e-10,0.0003283292097,5.825322353e+28,6.252312802e+19,356.0019944,2267535721000.0,2.15425705307241e-10,0.0001145600992,1.317159342e+27,2.356072959e+19,307.5981846,1135654230000.0
2.28007659410515e-10,0.0003259142949,5.524249152e+28,6.472993157e+19,357.8915519,2276247891000.0,2.26795635763941e-10,0.0001137218853,1.499993429e+27,2.313498489e+19,308.7865259,1209355745000.0
2.34222606080734e-10,0.0003243642913,5.35129209e+28,6.603895552e+19,359.0644069,2280903156000.0,2.26795635763941e-10,0.0001137218853,1.499993429e+27,2.313498489e+19,308.7865259,1209355745000.0
2.42590672352298e-10,0.0003222477339,5.137298252e+28,6.771297952e+19,360.6226654,2286435199000.0,2.49535496677341e-10,0.0001126440947,1.806650443e+27,2.235697415e+19,311.0315746,1323131491000.0
2.58422327998079e-10,0.0003181754191,4.785604089e+28,7.063974249e+19,363.5069553,2295345012000.0,2.49535496677341e-10,0.0001126440947,1.806650443e+27,2.235697415e+19,311.0315746,1323131491000.0
2.65724668613364e-10,0.0003162777988,4.644148656e+28,7.1896781e+19,364.809814,2298990037000.0,2.49535496677341e-10,0.0001126440947,1.806650443e+27,2.235697415e+19,311.0315746,1323131491000.0
2.69986422526177e-10,0.0003151682352,4.566940152e+28,7.260684145e+19,365.5623081,2301038645000.0,2.49535496677341e-10,0.0001126440947,1.806650443e+27,2.235697415e+19,311.0315746,1323131491000.0
2.78509930351805e-10,0.0003129496823,4.423183212e+28,7.397982342e+19,367.0500806,2305032561000.0,2.95015218504141e-10,0.0001105308551,2.210003579e+27,2.352390929e+19,314.9847807,1463238778000.0
2.93753632198455e-10,0.0003089982694,4.19666259e+28,7.629659541e+19,369.6540508,2311903212000.0,2.95015218504141e-10,0.0001105308551,2.210003579e+27,2.352390929e+19,314.9847807,1463238778000.0
3.00432925531342e-10,0.0003072670188,4.107938897e+28,7.726152246e+19,370.7720366,2314772989000.0,2.95015218504141e-10,0.0001105308551,2.210003579e+27,2.352390929e+19,314.9847807,1463238778000.0
3.04595260263645e-10,0.0003061852501,4.055380392e+28,7.784895097e+19,371.4615885,2316515998000.0,2.95015218504141e-10,0.0001105308551,2.210003579e+27,2.352390929e+19,314.9847807,1463238778000.0
3.12919929728251e-10,0.0003040119059,3.955775786e+28,7.899400957e+19,372.8241107,2319908604000.0,2.95015218504141e-10,0.0001105308551,2.210003579e+27,2.352390929e+19,314.9847807,1463238778000.0
3.2778826329807e-10,0.0003000999599,3.792802378e+28,8.094819809e+19,375.2019335,2325514382000.0,3.40494940330941e-10,0.0001096531991,2.397402981e+27,2.837973723e+19,318.2982353,1532985216000.0
3.34900848572748e-10,0.0002982004659,3.720272604e+28,8.184467947e+19,376.3137123,2327900932000.0,3.40494940330941e-10,0.0001096531991,2.397402981e+27,2.837973723e+19,318.2982353,1532985216000.0
3.38786796200587e-10,0.0002971485075,3.68184329e+28,8.232465169e+19,376.9139619,2329117514000.0,3.40494940330941e-10,0.0001096531991,2.397402981e+27,2.837973723e+19,318.2982353,1532985216000.0
3.46558691456263e-10,0.0002950186819,3.607153439e+28,8.326462826e+19,378.0990911,2331393693000.0,3.40494940330941e-10,0.0001096531991,2.397402981e+27,2.837973723e+19,318.2982353,1532985216000.0
3.61227707908612e-10,0.000290906734,3.472394079e+28,8.496953007e+19,380.27932,2334953642000.0,3.64535326779131e-10,0.0001093765444,2.438669958e+27,3.064231498e+19,319.831795,1553134515000.0
3.67274676083465e-10,0.0002891650652,3.418617239e+28,8.564695141e+19,381.1561349,2336062923000.0,3.64535326779131e-10,0.0001093765444,2.438669958e+27,3.064231498e+19,319.831795,1553134515000.0
3.70820353771e-10,0.0002881255856,3.387456445e+28,8.603750011e+19,381.6641804,2336614316000.0,3.64535326779131e-10,0.0001093765444,2.438669958e+27,3.064231498e+19,319.831795,1553134515000.0
3.7791170914607e-10,0.0002860077194,3.325819711e+28,8.680411941e+19,382.6666579,2337547118000.0,3.88575713227321e-10,0.0001089283,2.453217753e+27,3.274022046e+19,321.2392721,1565864805000.0
3.92094419896209e-10,0.0002816573292,3.204551824e+28,8.828086799e+19,384.616693,2338690059000.0,3.88575713227321e-10,0.0001089283,2.453217753e+27,3.274022046e+19,321.2392721,1565864805000.0
3.98114008589476e-10,0.0002797595151,3.153600587e+28,8.888533123e+19,385.4219281,2338792845000.0,4e-10,0.0001086818042,2.452586768e+27,3.368623012e+19,321.8682206,1569849526000.0
4e-10,0.0002791565514,3.137674034e+28,8.907202652e+19,385.6714175,2338771084000.0,4e-10,0.0001086818042,2.452586768e+27,3.368623012e+19,321.8682206,1569849526000.0
4.1e-10,0.0002758815705,3.053434649e+28,9.004078804e+19,386.9716851,2338345893000.0,4.1e-10,0.0001084661437,2.448731026e+27,3.448992749e+19,322.3994005,1572436079000.0
4.18823937668005e-10,0.000272913156,2.979270611e+28,9.086640392e+19,388.0873041,2337563283000.0,4.1e-10,0.0001084661437,2.448731026e+27,3.448992749e+19,322.3994005,1572436079000.0
4.24170365172745e-10,0.0002710847894,2.934280426e+28,9.13534912e+19,388.7486445,2336845091000.0,4.3e-10,0.0001080441,2.433177359e+27,3.603474087e+19,323.411485,1575458347000.0
4.30301801674158e-10,0.000268944518,2.882607641e+28,9.18999995e+19,389.4932836,2335755267000.0,4.3e-10,0.0001080441,2.433177359e+27,3.603474087e+19,323.411485,1575458347000.0
4.42540915201257e-10,0.0002645414677,2.779185227e+28,9.295270907e+19,390.9349347,2332960742000.0,4.3e-10,0.0001080441,2.433177359e+27,3.603474087e+19,323.411485,1575458347000.0
4.49870472431672e-10,0.0002618409154,2.716970053e+28,9.355901693e+19,391.7694962,2330867256000.0,4.3e-10,0.0001080441,2.433177359e+27,3.603474087e+19,323.411485,1575458347000.0
4.53725294028901e-10,0.0002604007733,2.68413813e+28,9.387070733e+19,392.1996435,2329603763000.0,4.7e-10,0.0001072231654,2.378123795e+27,3.890426645e+19,325.2567379,1574777812000.0
4.60792823144781e-10,0.0002577120052,2.623821142e+28,9.442940964e+19,392.9804641,2327028384000.0,4.7e-10,0.0001072231654,2.378123795e+27,3.890426645e+19,325.2567379,1574777812000.0
4.74765084729789e-10,0.0002522654225,2.503919422e+28,9.548586201e+19,394.5023224,2321074051000.0,4.7e-10,0.0001072231654,2.378123795e+27,3.890426645e+19,325.2567379,1574777812000.0
4.79506213401255e-10,0.0002503754368,2.46303524e+28,9.582994194e+19,395.0004651,2318716727000.0,4.7e-10,0.0001072231654,2.378123795e+27,3.890426645e+19,325.2567379,1574777812000.0
4.82394793766267e-10,0.0002492131547,2.438091193e+28,9.603603167e+19,395.2993386,2317176729000.0,4.7e-10,0.0001072231654,2.378123795e+27,3.890426645e+19,325.2567379,1574777812000.0
4.88171954496289e-10,0.0002468547865,2.388136022e+28,9.644020809e+19,395.8864339,2313912592000.0,4.95643913031257e-10,0.000106720135,2.330751137e+27,4.060798539e+19,326.3287761,1570759173000.0
4.99726275956335e-10,0.0002420521839,2.287772999e+28,9.721677262e+19,397.0176515,2306766608000.0,4.95643913031257e-10,0.000106720135,2.330751137e+27,4.060798539e+19,326.3287761,1570759173000.0
5.06578692794268e-10,0.0002391485597,2.228125046e+28,9.765745868e+19,397.6611573,2301986218000.0,5.11759265135853e-10,0.0001064259885,2.297853889e+27,4.163094405e+19,326.9636366,1567203249000.0
5.10138297900592e-10,0.0002376225577,2.197074202e+28,9.788059435e+19,397.9872309,2299310843000.0,5.11759265135853e-10,0.0001064259885,2.297853889e+27,4.163094405e+19,326.9636366,1567203249000.0
5.16739967706737e-10,0.000234750723,2.139425802e+28,9.828401347e+19,398.5768583,2294071554000.0,5.11759265135853e-10,0.0001064259885,2.297853889e+27,4.163094405e+19,326.9636366,1567203249000.0
5.29541875804343e-10,0.0002290475046,2.027549977e+28,9.902812723e+19,399.6634234,2282767937000.0,5.27874617240449e-10,0.0001061531466,2.263340145e+27,4.262026485e+19,327.5712194,1563035877000.0
5.34251645227198e-10,0.0002269161494,1.986331059e+28,9.928929795e+19,400.0439881,2278184131000.0,5.27874617240449e-10,0.0001061531466,2.263340145e+27,4.262026485e+19,327.5712194,1563035877000.0
5.37151025479758e-10,0.000225587596,1.960987026e+28,9.944673443e+19,400.2730388,2275236765000.0,5.43989969345044e-10,0.0001059012149,2.227753869e+27,4.357821258e+19,328.1535134,1558384065000.0
5.42949785984878e-10,0.0002229045874,1.910372074e+28,9.975402669e+19,400.719001,2269022447000.0,5.43989969345044e-10,0.0001059012149,2.227753869e+27,4.357821258e+19,328.1535134,1558384065000.0
5.54547306995117e-10,0.0002174289558,1.80927282e+28,1.003385063e+20,401.5615,2255519273000.0,5.6010532144964e-10,0.0001056721623,2.191575591e+27,4.46288994e+19,328.7123808,1553361756000.0
5.59920217578611e-10,0.0002148357993,1.762580428e+28,1.005957688e+20,401.9291587,2248684677000.0,5.6010532144964e-10,0.0001056721623,2.191575591e+27,4.46288994e+19,328.7123808,1553361756000.0
5.62926254991656e-10,0.0002133808092,1.736513623e+28,1.00736005e+20,402.1284508,2244623539000.0,5.6010532144964e-10,0.0001056721623,2.191575591e+27,4.46288994e+19,328.7123808,1553361756000.0
5.68938329817747e-10,0.0002104138859,1.684430258e+28,1.010085456e+20,402.5128782,2236074556000.0,5.6010532144964e-10,0.0001056721623,2.191575591e+27,4.46288994e+19,328.7123808,1553361756000.0
5.80186220708315e-10,0.0002047225601,1.587614818e+28,1.014903011e+20,403.1803684,2218670152000.0,5.92336025658832e-10,0.0001052884822,2.119158249e+27,4.675141663e+19,329.7671137,1542624125000.0
5.84793706990929e-10,0.0002023461713,1.548216146e+28,1.016771417e+20,403.4339431,2210889258000.0,5.92336025658832e-10,0.0001052884822,2.119158249e+27,4.675141663e+19,329.7671137,1542624125000.0
5.87594289292648e-10,0.0002008916964,1.524353101e+28,1.017877528e+20,403.58229,2205968528000.0,5.92336025658832e-10,0.0001052884822,2.119158249e+27,4.675141663e+19,329.7671137,1542624125000.0
5.93195453896085e-10,0.000197975679,1.476674638e+28,1.020022776e+20,403.8656736,2195759374000.0,5.92336025658832e-10,0.0001052884822,2.119158249e+27,4.675141663e+19,329.7671137,1542624125000.0
