Vd_applied_V,Vd_internal_V,Id_A_per_um,abs_Id_A_per_um,abs_Id_mA_per_mm,Field_GateRight,Field_FP_End,Field_DrainEdge,ImpactMax,Tmax,Tmin,JouleMax,HeatMax,Tsource,Tdrain,Tbottom
2497.0,2497.0,-1.714746515e-14,1.714746515e-14,1.714746515e-08,343626.6564,331843.9868,-11344.77218,2289368788000000.0,300.0,300.0,3.521709417,3.521709417,300.0,300.0,300.0
2498.0,2498.0,-2.666674513e-15,2.666674513e-15,2.6666745130000003e-09,343511.8645,331660.9399,-11344.77028,2308133722000000.0,300.0,300.0,3.535444437,3.535444437,300.0,300.0,300.0
2499.0,2499.0,-1.738658862e-14,1.738658862e-14,1.738658862e-08,343397.8564,331480.9489,-11344.76839,2327078351000000.0,300.0,300.0,3.549309994,3.549309994,300.0,300.0,300.0
2500.0,2500.0,-1.722385671e-14,1.722385671e-14,1.722385671e-08,343284.6203,331303.9711,-11344.76649,2346204798000000.0,300.0,300.0,3.563307213,3.563307213,300.0,300.0,300.0
2501.0,2501.0,-1.784634693e-14,1.784634693e-14,1.784634693e-08,343172.1448,331129.9637,-11344.7646,2365515215000000.0,300.0,300.0,3.577437222,3.577437222,300.0,300.0,300.0
2502.0,2502.0,-2.569077177e-15,2.569077177e-15,2.569077177e-09,343060.4181,330958.8836,-11344.7627,2385011776000000.0,300.0,300.0,3.591701159,3.591701159,300.0,300.0,300.0
2503.0,2503.0,-1.725734642e-14,1.725734642e-14,1.7257346419999998e-08,342949.4288,330790.6877,-11344.76081,2404696682000000.0,300.0,300.0,3.606100168,3.606100168,300.0,300.0,300.0
2504.0,2504.0,-2.189853975e-15,2.189853975e-15,2.189853975e-09,342839.1653,330625.333,-11344.75893,2424572162000000.0,300.0,300.0,3.620635405,3.620635405,300.0,300.0,300.0
2505.0,2505.0,-1.764431626e-14,1.764431626e-14,1.764431626e-08,342729.6164,330462.7763,-11344.75704,2444640470000000.0,300.0,300.0,3.635308033,3.635308033,300.0,300.0,300.0
2506.0,2506.0,-1.745984174e-14,1.745984174e-14,1.745984174e-08,342620.7706,330302.9747,-11344.75515,2464903891000000.0,300.0,300.0,3.65011923,3.65011923,300.0,300.0,300.0
