RUN121_time_s,RUN121_Id,RUN121_ImpactMax,RUN121_HoleMax,RUN121_Tmax,RUN121_Tmin,RUN121_JouleMax,RUN121_HeatMax,RUN096_nearest_time_s,RUN096_Id,RUN096_ImpactMax,RUN096_HoleMax,RUN096_Tmax,RUN096_Tmin,RUN096_JouleMax,RUN096_HeatMax
5.5e-11,0.0004646018377,5.173607482e+25,2.581310883e+19,311.1800854,299.9995737,1862537108000.0,1862370305000.0,5.5e-11,0.0005233401907,1.724233565e+27,2.574309898e+19,316.4303498,299.999567,2681853904000.0,2681713093000.0
5.85883423846657e-11,0.000460579971,1.424599857e+26,2.543627159e+19,311.8645987,299.999556,1830706690000.0,1830541342000.0,5.85866344255903e-11,0.0005186956686,1.54368543e+27,2.537341843e+19,317.4082615,299.9995479,2605479240000.0,2605340524000.0
6.21766847693314e-11,0.0004564606215,3.671674715e+26,2.507946911e+19,312.5213491,299.9995402,1796115681000.0,1795949098000.0,6.33688136597106e-11,0.0005109986082,1.328248694e+27,2.490992374e+19,318.6170709,299.9995255,2497226708000.0,2497140971000.0
6.57650271539972e-11,0.0004513795366,8.465253113e+26,2.474109408e+19,313.145283,299.9995264,1764688695000.0,1764596468000.0,6.57599032767708e-11,0.0005058806207,1.236975906e+27,2.468979569e+19,319.185275,299.9995156,2448685389000.0,2448595499000.0
6.93533695386629e-11,0.0004459093426,1.759303886e+27,2.441973615e+19,313.7410878,299.9995146,1738057742000.0,1737961331000.0,7.05420825108911e-11,0.0004951163663,1.084105829e+27,2.427080706e+19,320.2639208,299.9994985,2356243800000.0,2356151658000.0
7.29417119233286e-11,0.0004407404782,3.317995513e+27,2.41141463e+19,314.3132311,299.999505,1713508453000.0,1713408878000.0,7.53242617450115e-11,0.0004851061355,9.610250918e+26,2.387786511e+19,321.2810449,299.9994849,2270497124000.0,2270407993000.0
8.01183966926601e-11,0.0004313989088,9.038354386e+27,2.354580921e+19,315.3993805,299.9994918,1670015676000.0,1669910088000.0,8.01064409791318e-11,0.0004759278005,2.633424909e+27,2.350891684e+19,322.2505202,299.9994749,2193361660000.0,2193279293000.0
8.72950814619915e-11,0.0004226505158,1.828106421e+28,2.302923276e+19,316.4237323,299.9994867,1634158906000.0,1634047964000.0,8.96707994473725e-11,0.0004565183378,1.51400897e+28,2.283738015e+19,324.0908412,299.9994666,2080320752000.0,2080223422000.0
9.44717662313229e-11,0.0004136922842,2.949192375e+28,2.255933015e+19,317.4018435,299.9994889,2136211014000.0,2144722402000.0,9.44529786814928e-11,0.000447517365,3.06701382e+28,2.253324408e+19,324.9779332,299.9994694,2040645223000.0,2040488465000.0
1e-10,0.0004057886254,3.797802882e+28,2.222696848e+19,318.1301723,299.9994952,2663521514000.0,2665434802000.0,1e-10,0.0004383505145,6.005535322e+28,2.220605747e+19,325.9896072,299.9994803,2012459680000.0,2012309171000.0
1.05e-10,0.0003971644506,4.468956413e+28,2.194624019e+19,318.7722619,299.9995038,3089273556000.0,3091463280000.0,1.05e-10,0.0004309321077,9.472210377e+28,2.193207276e+19,326.8909952,299.9994907,2971271321000.0,2988100916000.0
1.10807726290912e-10,0.0003846716257,5.080367005e+28,2.163742541e+19,319.4970126,299.9995107,3476810068000.0,3479271120000.0,1.09658936521071e-10,0.000423828492,1.258876609e+29,2.168864355e+19,327.7245789,299.9995057,3993504465000.0,4014043099000.0
1.14057857440281e-10,0.0003762425326,5.334214491e+28,2.146954426e+19,319.8909417,299.9995143,3640589798000.0,3643177836000.0,1.09658936521071e-10,0.000423828492,1.258876609e+29,2.168864355e+19,327.7245789,299.9995057,3993504465000.0,4014043099000.0
1.1730798858965e-10,0.0003666012358,5.525185766e+28,2.130347292e+19,320.2745346,299.9995186,3767646069000.0,3770343501000.0,1.18976809563212e-10,0.0004038263347,1.520927063e+29,3.01542624e+19,329.3734468,299.9995452,5112430271000.0,5133689340000.0
1.2055811973902e-10,0.0003557564505,5.657089804e+28,2.135544766e+19,320.6463399,299.9995234,3860709632000.0,3863499693000.0,1.18976809563212e-10,0.0004038263347,1.520927063e+29,3.01542624e+19,329.3734468,299.9995452,5112430271000.0,5133689340000.0
1.23808250888389e-10,0.0003440193989,5.73541839e+28,2.281702043e+19,321.00607,299.9995286,3923243601000.0,3926110689000.0,1.23559234462279e-10,0.0003906965492,1.463471529e+29,3.522063463e+19,330.1763253,299.9995646,5073437758000.0,5092308568000.0
1.27058382037758e-10,0.0003320616472,5.766968063e+28,2.419768302e+19,321.3555636,299.9995341,3959199686000.0,3962129661000.0,1.28141659361347e-10,0.0003775699807,1.346874595e+29,3.913746597e+19,330.9813257,299.9995815,4778067556000.0,4794170107000.0
1.33558644336497e-10,0.0003110442077,5.721978107e+28,2.671991783e+19,322.8854519,299.9995458,3969151466000.0,3972172088000.0,1.32724084260414e-10,0.0003672826171,1.220854642e+29,4.200415875e+19,331.8008117,299.9995957,4389349077000.0,4403075315000.0
1.39115044999499e-10,0.0002983548601,5.603956421e+28,2.863959396e+19,325.0669115,299.9995562,3930922226000.0,3933991447000.0,1.37306509159482e-10,0.0003614207842,1.11079496e+29,4.40779506e+19,332.6432655,299.9996075,4014367007000.0,4026361442000.0
1.44671445662501e-10,0.0002900161661,5.446386224e+28,3.036952928e+19,327.0587068,299.9995664,3868154610000.0,3871254630000.0,1.46471358957617e-10,0.0003586000871,9.585190617e+28,4.684468144e+19,334.3833965,299.9996261,3454018949000.0,3464196119000.0
1.50227846325503e-10,0.0002843915789,5.271478934e+28,3.194076838e+19,328.8753426,299.9995762,3793560262000.0,3796679880000.0,1.51053783856684e-10,0.0003577206655,9.093664189e+28,4.788428607e+19,335.2657169,299.9996338,3266977330000.0,3276773098000.0
1.55784246988505e-10,0.0002806557403,5.092994476e+28,3.391930843e+19,330.5374115,299.9995855,3715514296000.0,3718647073000.0,1.55636208755751e-10,0.000355847823,8.713255912e+28,4.882773817e+19,336.145284,299.999641,3123958189000.0,3133556370000.0
1.61340647651507e-10,0.0002780449571,4.918517686e+28,3.616246866e+19,332.0668488,299.9995943,3638961899000.0,3642104512000.0,1.60218633654819e-10,0.0003527867796,8.402558548e+28,4.972350718e+19,337.0172689,299.9996477,3011228416000.0,3020730349000.0
