run,time_label,endpoint_case,sequence,x_um,y_um,zone,Je_x_Acm-2,Je_y_Acm-2,Je_mag_Acm-2,Jtotal_Acm-2,electron_cm-3,impact_cm-3s-1
RUN096,t50ns,x2-x18_channel-edge,99,10.9160156,0.009375,channel-drift,-11319.0542,231.852597,11321.428514514999,11324.3181,3498216380000000.0,4.05509215e+18
RUN096,t50ns,x2-x18_channel-edge,100,10.9091797,0.009375,channel-drift,-11560.78,267.139841,11563.866044841989,11566.767,3566864380000000.0,3.91404425e+18
RUN096,t50ns,x2-x18_channel-edge,101,10.9023438,0.009375,channel-drift,-11853.0108,311.181473,11857.094877500775,11860.0069,3649094230000000.0,3.79507685e+18
RUN096,t50ns,x2-x18_channel-edge,102,10.8955079,0.009375,channel-drift,-12212.1059,366.391199,12217.600952049444,12220.5236,3749266440000000.0,3.70033214e+18
RUN096,t50ns,x2-x18_channel-edge,103,10.8886719,0.009375,channel-drift,-12660.0272,435.896021,12667.529121571557,12670.4619,3873230190000000.0,3.63263856e+18
RUN096,t50ns,x2-x18_channel-edge,104,10.8818359,0.009375,channel-drift,-13226.3474,523.781121,13236.714554911381,13239.6571,4028846960000000.0,3.59572337e+18
RUN096,t50ns,x2-x18_channel-edge,105,10.875,0.009375,channel-drift,-13950.9901,635.389087,13965.451803009337,13968.4034,4226712160000000.0,3.59445916e+18
RUN096,t50ns,x2-x18_channel-edge,106,10.8681641,0.009375,channel-drift,-14888.0044,777.761816,14908.306022377155,14911.2663,4481145780000000.0,3.6352918e+18
RUN096,t50ns,x2-x18_channel-edge,107,10.8613281,0.009375,channel-drift,-16110.8166,960.236164,16139.407207499567,16142.3757,4811565300000000.0,3.7269275e+18
RUN096,t50ns,x2-x18_channel-edge,108,10.8544922,0.009375,channel-drift,-17719.8124,1195.38553,17760.087219845715,17763.0639,5244391260000000.0,3.88179002e+18
RUN096,t50ns,x2-x18_channel-edge,109,10.8476563,0.009375,channel-drift,-22453.5114,-4765.35649,22953.622735130833,22956.4998,5815840070000000.0,1.48358112e+18
RUN096,t50ns,x2-x18_channel-edge,110,10.8203125,0.01875,channel-drift,-1125.63581,29.7591718,1126.0291226520644,1129.13826,314715537000000.0,1.70196449e+17
RUN096,t50ns,x2-x18_channel-edge,111,10.765625,0.01875,channel-drift,-1312.87732,31.1911692,1313.247785608811,1316.41229,360039773000000.0,1.11309977e+17
RUN096,t50ns,x2-x18_channel-edge,112,10.65625,0.01875,channel-drift,-1531.32667,29.7617173,1531.6158559083717,1534.86662,434829187000000.0,5.62063462e+16
RUN096,t50ns,x2-x18_channel-edge,113,10.546875,0.01875,channel-drift,-1813.92785,36.269961,1814.290427433426,1817.6301,521412524000000.0,2.59527047e+16
RUN096,t50ns,x2-x18_channel-edge,114,10.4375,0.01875,channel-drift,-2115.67875,50.5854615,2116.2834077969637,2119.69023,611250184000000.0,1.17716497e+16
RUN096,t50ns,x2-x18_channel-edge,115,10.328125,0.01875,channel-drift,-2459.75764,79.6709623,2461.0475634924605,2464.50627,709789972000000.0,5246374830000000.0
RUN096,t50ns,x2-x18_channel-edge,116,10.21875,0.01875,channel-drift,-2881.03419,134.766227,2884.1844496995627,2887.68314,826068020000000.0,2281686320000000.0
RUN096,t50ns,x2-x18_channel-edge,117,10.109375,0.01875,channel-drift,-3408.14252,228.862774,3415.818145913937,3419.34617,972837061000000.0,943813982000000.0
RUN096,t50ns,x2-x18_channel-edge,118,10.0,0.01875,channel-drift,-4063.07006,372.381068,4080.0987699163884,4083.64756,1155253180000000.0,343122232000000.0
RUN096,t50ns,x2-x18_channel-edge,119,9.875,0.01875,channel-drift,-4630.53846,569.060046,4665.374129209006,4668.93269,1367850160000000.0,94888679000000.0
RUN096,t50ns,x2-x18_channel-edge,120,9.75,0.01875,channel-drift,-4727.07009,764.26378,4788.453900915461,4792.01092,1524197080000000.0,18678210400000.0
RUN096,t50ns,x2-x18_channel-edge,121,9.625,0.01875,channel-drift,-3780.67124,788.499205,3862.0209762828545,3865.56426,1428684330000000.0,2450082190000.0
RUN096,t50ns,x2-x18_channel-edge,122,9.5,0.01875,channel-drift,-1929.028,500.876672,1992.9943465393462,1996.51879,933532291000000.0,218527023000.0
RUN096,t50ns,x2-x18_channel-edge,123,9.375,0.0375,channel-drift,-710.542144,278.910594,763.3225123403276,766.786868,427153402000000.0,3913.37827
RUN096,t50ns,x2-x18_channel-edge,124,9.375,0.05625,channel-drift,-1040.23098,500.726982,1154.4730409388471,1157.85263,582158028000000.0,5224.96796
RUN096,t50ns,x2-x18_channel-edge,125,9.375,0.075,channel-drift,-1393.26374,750.966771,1582.761807836212,1586.0815,699726579000000.0,6122.88304
RUN096,t50ns,x2-x18_channel-edge,126,9.375,0.09375,channel-drift,-1707.94695,988.680843,1973.4671503041275,1976.74466,764711612000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,127,9.25,0.1125,channel-drift,-690.887341,373.136008,785.2106713616585,788.543913,431812591000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,128,9.25,0.13125,channel-drift,-881.479911,607.059265,1070.2933171420384,1073.41508,547231962000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,129,9.25,0.15,UID-drift,-991.863389,916.70726,1350.609189579011,1353.41962,589998465000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,130,9.125,0.175,UID-drift,-335.379044,70.6638936,342.7425987721195,345.952385,188777818000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,131,9.0,0.2,gate/UID-transition,-499.15754,-67.3963546,503.68692493673143,506.077547,100837123000000.0,0.0
RUN096,t50ns,x2-x18_channel-edge,132,8.875,0.2,gate/UID-transition,-1017.51824,-157.510867,1029.6373351601958,1030.99142,228177725000000.0,0.0
